arquivo_moss,dataset,prevalencia_real,prev_moss,erro_moss,erro_dys,n_amostras,var_scores,entropy,prev_dyssyn,erro_dyssyn
moss_5_95.pkl,1494_qsar-biodeg.csv,0.1,0.241887667,0.141887667,0.039,100,0.086347129,2.775155209,0.327680957,0.227680957
moss_5_95.pkl,1494_qsar-biodeg.csv,0.15,0.345061,0.195061,0.021,100,0.089934083,2.768349789,0.342360346,0.192360346
moss_5_95.pkl,1494_qsar-biodeg.csv,0.2,0.262806667,0.062806667,0.006,100,0.09795396,2.736243267,0.407565472,0.207565472
moss_5_95.pkl,1494_qsar-biodeg.csv,0.25,0.438454667,0.188454667,0.082,100,0.107205778,2.773752904,0.41800612,0.16800612
moss_5_95.pkl,1494_qsar-biodeg.csv,0.3,0.434439,0.134439,0.002,100,0.10602884,2.842559051,0.507908084,0.207908084
moss_5_95.pkl,1494_qsar-biodeg.csv,0.35,0.646482,0.296482,0.168,100,0.110782493,2.723200706,0.563926491,0.213926491
moss_5_95.pkl,1494_qsar-biodeg.csv,0.4,0.566324667,0.166324667,0.08,100,0.11411676,2.690975019,0.55472304,0.15472304
moss_5_95.pkl,1494_qsar-biodeg.csv,0.44,0.589356667,0.149356667,0.042,100,0.115749532,2.750638793,0.588294049,0.148294049
moss_5_95.pkl,1494_qsar-biodeg.csv,0.49,0.660049333,0.170049333,0.072,100,0.113853861,2.707254543,0.655513163,0.165513163
moss_5_95.pkl,1494_qsar-biodeg.csv,0.54,0.634354667,0.094354667,0.076,100,0.119422412,2.542970628,0.704142479,0.164142479
moss_5_95.pkl,1494_qsar-biodeg.csv,0.6,0.665825,0.065825,0.016,100,0.107092049,2.704200635,0.666918709,0.066918709
moss_5_95.pkl,1494_qsar-biodeg.csv,0.65,0.755015667,0.105015667,0.072,100,0.10380651,2.509344956,0.709136284,0.059136284
moss_5_95.pkl,1494_qsar-biodeg.csv,0.7,0.812932333,0.112932333,0.085,100,0.087167796,2.498809558,0.800208077,0.100208077
moss_5_95.pkl,1494_qsar-biodeg.csv,0.75,0.842919333,0.092919333,0.061,100,0.075103111,2.24643728,0.802251504,0.052251504
moss_5_95.pkl,1494_qsar-biodeg.csv,0.8,0.871919667,0.071919667,0.128,100,0.06991611,2.241094937,0.844572713,0.044572713
moss_5_95.pkl,1494_qsar-biodeg.csv,0.85,0.895273,0.045273,0.06,100,0.063747488,2.244524861,0.930462291,0.080462291
moss_5_95.pkl,1494_qsar-biodeg.csv,0.9,0.914683667,0.014683667,0.048,100,0.055530227,2.281060303,0.942294449,0.042294449
