dataset,prevalencia_real,erro_moss,erro_dys,n_amostras,var_scores,entropy
1466_cardiotocography.csv,0.35,0.012969333333335276,0.19900000000000007,100,0.1912683322222222,1.3479268986279336
1466_cardiotocography.csv,0.4,0.00990766666666859,0.18699999999999994,100,0.21934008333333335,1.0157938489862195
1466_cardiotocography.csv,0.44,0.007401999999999409,0.194,100,0.2194307066666667,1.2641803211751133
1466_cardiotocography.csv,0.49,0.027951000000000725,0.16200000000000003,100,0.21780576,1.287562042401663
1466_cardiotocography.csv,0.54,0.0022999999999993026,0.22199999999999998,100,0.22203188888888892,1.1710846487224156
1466_cardiotocography.csv,0.6,0.00503633333333442,0.16000000000000003,100,0.2178951822222222,1.2440806963463695
1466_cardiotocography.csv,0.65,0.009457333333330653,0.16600000000000004,100,0.2002111944444445,1.4219648205059208
1466_cardiotocography.csv,0.7,0.011500333333330226,0.14300000000000002,100,0.18487186111111112,1.4197376482839876
1466_cardiotocography.csv,0.75,0.011959333333335764,0.131,100,0.17004146222222222,1.2480216965989717
1466_cardiotocography.csv,0.8,0.011840999999997326,0.10499999999999998,100,0.14264864,1.3952659612329505
1466_cardiotocography.csv,0.85,0.010462333333330132,0.08600000000000008,100,0.11711392333333333,1.3611005335499802
1466_cardiotocography.csv,0.9,0.014434333333335103,0.05500000000000005,100,0.08121138222222223,1.4212637511695232
1466_cardiotocography.csv,0.95,0.010300000000003418,0.03400000000000003,100,0.045615062222222225,1.1558481931558402
1475_first-order-theorem-proving.csv,0.05,0.058575666666665915,0.046,100,0.06285562769475309,2.399695570240499
1475_first-order-theorem-proving.csv,0.1,0.03386266666666629,0.013999999999999999,100,0.07181182797805491,2.4302097345359037
1475_first-order-theorem-proving.csv,0.15,0.04267699999999888,0.07800000000000001,100,0.09673121941861929,2.547647683212183
1475_first-order-theorem-proving.csv,0.2,0.032752333333331746,0.04899999999999999,100,0.09687679621488413,2.6116512556642575
1475_first-order-theorem-proving.csv,0.25,0.013884666666668377,0.0020000000000000018,100,0.10250733829176116,2.5763273468099577
1475_first-order-theorem-proving.csv,0.3,0.010663999999999119,0.07900000000000001,100,0.10036215657376545,2.81839003110302
1475_first-order-theorem-proving.csv,0.35,0.05514899999999978,0.004999999999999949,100,0.10377160297342529,2.785141622077009
1475_first-order-theorem-proving.csv,0.4,0.11552399999999963,0.06,100,0.09531524521445861,2.785283777572374
1475_first-order-theorem-proving.csv,0.44,0.08263933333333345,0.01100000000000001,100,0.10938550959104937,2.7771208635649303
1475_first-order-theorem-proving.csv,0.49,0.07993766666666785,0.014999999999999958,100,0.11341556296009166,2.7332178377820435
