,dataset,prevalencia_real,erro_moss,erro_dys,n_amostras,var_scores,entropy,gap_dys
1141,679_rmftsa_sleepdata.csv,0.1,0.1362833333333316,0.145,100,0.1056962580566544,2.5173666019139382,-0.008716666666668399
1142,679_rmftsa_sleepdata.csv,0.15,0.0594283333333321,0.069,100,0.0939662114918042,2.6014045270835053,-0.009571666666667908
1143,679_rmftsa_sleepdata.csv,0.2,0.1094189999999991,0.0899999999999999,100,0.1210950718208014,2.378821957959365,0.0194189999999992
1144,679_rmftsa_sleepdata.csv,0.25,0.0014069999999995,0.0489999999999999,100,0.1040879402600593,2.5639457708142377,-0.0475930000000004
1145,679_rmftsa_sleepdata.csv,0.3,0.0668593333333334,0.009,100,0.1134985969356763,2.5105706404421664,0.057859333333333395
1146,679_rmftsa_sleepdata.csv,0.35,0.0670180000000005,0.057,100,0.1057174284897575,2.670306654929131,0.010018000000000492
1147,679_rmftsa_sleepdata.csv,0.4,0.0642460000000011,0.038,100,0.1079724844920473,2.678836441549202,0.026246000000001095
1148,679_rmftsa_sleepdata.csv,0.44,0.0254786666666657,0.017,100,0.129171185631047,2.569190597974313,0.008478666666665698
1149,679_rmftsa_sleepdata.csv,0.49,0.1444480000000009,0.0979999999999999,100,0.108751229170581,2.511768630040509,0.046448000000001
1150,679_rmftsa_sleepdata.csv,0.54,0.32721,0.204,100,0.1118839779938198,2.5836493566725576,0.12321000000000001
1151,679_rmftsa_sleepdata.csv,0.6,0.2109716666666663,0.015,100,0.1037027369651998,2.6572766481971337,0.19597166666666632
1152,679_rmftsa_sleepdata.csv,0.65,0.173362333333333,0.071,100,0.117105187096158,2.6813828318186173,0.10236233333333301
1153,679_rmftsa_sleepdata.csv,0.7,0.2634936666666666,0.121,100,0.1076746044535557,2.758848061232023,0.14249366666666663
1154,679_rmftsa_sleepdata.csv,0.75,0.4095576666666675,0.284,100,0.1061662205797755,2.6326587013432885,0.1255576666666675
1155,679_rmftsa_sleepdata.csv,0.8,0.1111969999999965,0.076,100,0.0983358670702318,2.718009546704651,0.035196999999996495
1156,679_rmftsa_sleepdata.csv,0.85,0.2248593333333315,0.13,100,0.1107316236134557,2.639534658130289,0.09485933333333149
1157,679_rmftsa_sleepdata.csv,0.9,0.1629733333333367,0.0919999999999999,100,0.0988166077601031,2.694535492497744,0.07097333333333679
1158,679_rmftsa_sleepdata.csv,0.95,0.3605403333333328,0.3069999999999999,100,0.0935905114601062,2.636885018648245,0.05354033333333291
1159,679_rmftsa_sleepdata.csv,0.05,0.1581723333333321,0.148,100,0.0932805665416258,2.5443250781328457,0.010172333333332118
1160,679_rmftsa_sleepdata.csv,0.1,0.1189063333333321,0.143,100,0.0949728308937415,2.584744400862069,-0.024093666666667887
1161,679_rmftsa_sleepdata.csv,0.15,0.1072839999999993,0.159,100,0.1079949674481312,2.413778384315943,-0.051716000000000706
1162,679_rmftsa_sleepdata.csv,0.2,0.0520749999999992,0.037,100,0.105731970351589,2.5162612110606326,0.0150749999999992
1163,679_rmftsa_sleepdata.csv,0.25,0.002074333333333,0.0789999999999999,100,0.1080397537888265,2.3826735360588303,-0.0769256666666669
1164,679_rmftsa_sleepdata.csv,0.3,0.0665743333333327,0.112,100,0.1236648818706534,2.5832381219745773,-0.04542566666666731
